from_stop_id,to_stop_id,transfer_type,min_transfer_time
AMI:SP:RUELL2,AMI:SP:RUELL1,2,153
AMI:SP:DELPEN1,AMI:SP:DESMO1,2,254
AMI:SP:MONSN1,AMI:SP:MONSN2,2,175
AMI:SP:MUSEE1,AMI:SP:CIRQUN2,2,275
AMI:SP:RONSA2,AMI:SP:CALMN1,2,323
AMI:SP:STENDN1,AMI:SP:CVICTN2,2,336
AMI:SP:UPJVN2,AMI:SP:UPJVN1,2,106
AMI:SP:CVICTN1,AMI:SP:VOLTA1,2,215
AMI:SP:CONTY1,AMI:SP:NAUGA2,2,346
AMI:SP:PKRUG1,AMI:SP:CITAD4,2,188
AMI:SP:RGOUR2,AMI:SP:RGOUR1,2,151
AMI:SP:GARER2,AMI:SP:ALORRN2,2,436
AMI:SP:PERIM2,AMI:SP:MONSN1,2,222
AMI:SP:CIMONN6,AMI:SP:PKRUG1,2,409
AMI:SP:PAVREN2,AMI:SP:PAVREN1,2,115
AMI:SP:GUTEN2,AMI:SP:GUTEN1,2,110
AMI:SP:RAINE1,AMI:SP:CALMN1,2,280
AMI:SP:ACACI2,AMI:SP:ACACI1,2,180
AMI:SP:EGCIM1,AMI:SP:CONDO3,2,421
AMI:SP:PROCT1,AMI:SP:OZENF1,2,338
AMI:SP:PCAGN2,AMI:SP:PCAGNN3,2,135
AMI:SP:MACULN7,AMI:SP:MACUL6,2,181
AMI:SP:RUNIV2,AMI:SP:JMOUL1,2,380
AMI:SP:JOINV2,AMI:SP:SAGEB2,2,251
AMI:SP:LANGUN2,AMI:SP:LANGUN1,2,82
AMI:SP:JOINV1,AMI:SP:SAGEB1,2,403
AMI:SP:ACOLA1,AMI:SP:RCASS2,2,420
AMI:SP:SANTEN1,AMI:SP:PNORDN1,2,364
AMI:SP:PROCT1,AMI:SP:WABCO1,2,349
AMI:SP:CHARAN4,AMI:SP:PROVI1,2,245
AMI:SP:PVOGEN6,AMI:SP:PMARCHN,2,354
AMI:SP:PROVI2,AMI:SP:STQUE1,2,288
AMI:SP:OTAGEN2,AMI:SP:OTAGEN1,2,99
AMI:SP:DREUI1,AMI:SP:VHUGO2,2,326
AMI:SP:LIBERN1,AMI:SP:STRAS2,2,404
AMI:SP:VOLTA2,AMI:SP:STENDN2,2,290
AMI:SP:ECMAU1,AMI:SP:VIGNA2,2,284
AMI:SP:NEUVI2,AMI:SP:TERRI1,2,288
AMI:SP:MOUTIER1,AMI:SP:MOUTIER2,2,81
AMI:SP:PMANY1,AMI:SP:CHVAL2,2,132
AMI:SP:CIPRON1,AMI:SP:CIPRON2,2,75
AMI:SP:VOLTA1,AMI:SP:MARRE1,2,421
AMI:SP:CONDO4,AMI:SP:SQLAC6,2,217
AMI:SP:COLBEN1,AMI:SP:REMBA2,2,384
AMI:SP:CIMACN1,AMI:SP:HIMPON2,2,405
AMI:SP:14JUI2,AMI:SP:PELUA2,2,212
AMI:SP:NAUGA2,AMI:SP:MSALE2,2,437
AMI:SP:HPLSUN4,AMI:SP:HPLSU5,2,155
AMI:SP:POIDEN1,AMI:SP:ROSERN2,2,390
AMI:SP:BALZAN2,AMI:SP:STENDN2,2,428
AMI:SP:MOUTIER2,AMI:SP:MOUTIER1,2,81
AMI:SP:CTCAS1,AMI:SP:CTCAS2,2,118
AMI:SP:JANVI1,AMI:SP:STQUE1,2,330
AMI:SP:RICOR2,AMI:SP:FJOUR2,2,439
AMI:SP:ABEPE2,AMI:SP:ABEPE1,2,76
AMI:SP:STRAS2,AMI:SP:STJUS2,2,288
AMI:SP:THDEL1,AMI:SP:MRIVE1,2,401
AMI:SP:STSAU1,AMI:SP:AMBONN2,2,401
AMI:SP:CJOCUR,AMI:SP:MLONGN2,2,423
AMI:SP:PMARCHN,AMI:SP:MACULN7,2,377
AMI:SP:EGREN1,AMI:SP:FRANC1,2,241
AMI:SP:AUSSYN2,AMI:SP:GARER2,2,426
AMI:SP:AUSSYN1,AMI:SP:DEJEA1,2,424
AMI:SP:BRANLN4,AMI:SP:BRANLN2,2,163
AMI:SP:PAVREN1,AMI:SP:PAVREN2,2,115
AMI:SP:GORLIN1,AMI:SP:GORLIN2,2,86
AMI:SP:COISY1,AMI:SP:MPOULA,2,357
AMI:SP:MGARD1,AMI:SP:MGARD2,2,117
AMI:SP:PVOGEN4,AMI:SP:BRETES1,2,230
AMI:SP:STENDN2,AMI:SP:STENDN1,2,80
AMI:SP:DCORD2,AMI:SP:MRIVE1,2,277
AMI:SP:REMBA1,AMI:SP:REMBA2,2,120
AMI:SP:PCAGNN1,AMI:SP:LATAPN1,2,425
AMI:SP:BEAUM2,AMI:SP:PFORT2,2,315
AMI:SP:LOCKEN2,AMI:SP:CJEAN2,2,314
AMI:SP:HNORD2,AMI:SP:TERRA2,2,427
AMI:SP:PINSO1,AMI:SP:STJUS2,2,282
AMI:SP:ROPE1,AMI:SP:CRIVE2,2,322
AMI:SP:CHLBAR,AMI:SP:GAMBI2,2,412
AMI:SP:PNORDN3,AMI:SP:SANTEN2,2,322
AMI:SP:GARENA,AMI:SP:GARER1,2,399
AMI:SP:JANVI1,AMI:SP:STQUE3,2,351
AMI:SP:CHARAN4,AMI:SP:CHARAN2,2,206
AMI:SP:CIRQUN2,AMI:SP:LONGVIL,2,225
AMI:SP:CIRQMN2,AMI:SP:LONGVIL,2,318
AMI:SP:JOINV2,AMI:SP:SAGEB1,2,334
AMI:SP:PVICT2,AMI:SP:ALLIE1,2,423
AMI:SP:ELBEU2,AMI:SP:CJEAN1,2,291
AMI:SP:FJOUR1,AMI:SP:DORGE2,2,348
AMI:SP:CIRQUN2,AMI:SP:CIRQMN2,2,211
AMI:SP:RONSA1,AMI:SP:RALLO1,2,404
AMI:SP:STJACN2,AMI:SP:PMARCHN,2,439
AMI:SP:FUSCI2,AMI:SP:PMANY2,2,440
AMI:SP:BALZAN2,AMI:SP:RONSA2,2,382
AMI:SP:FLEGE1,AMI:SP:PICAS2,2,365
AMI:SP:RICOR2,AMI:SP:FJOUR1,2,421
AMI:SP:BEFFRON,AMI:SP:PVOGEN6,2,364
AMI:SP:PICAS1,AMI:SP:FLEGE1,2,390
AMI:SP:LOCKEN2,AMI:SP:CJEAN1,2,280
AMI:SP:AQUAPN3,AMI:SP:AQUAPN1,2,189
AMI:SP:MEGAC2,AMI:SP:MEGAC1,2,113
AMI:SP:HNORD1,AMI:SP:HNORD2,2,157
AMI:SP:HPSDEN5,AMI:SP:HPLSUN6,2,429
AMI:SP:CTPET2,AMI:SP:VMAGN1,2,418
AMI:SP:STENDN1,AMI:SP:VOLTA2,2,280
AMI:SP:STANON2,AMI:SP:CAMBRN1,2,396
AMI:SP:STENDN2,AMI:SP:DUCLO1,2,291
AMI:SP:CIRQUN1,AMI:SP:MUSEE1,2,353
AMI:SP:PTJEA1,AMI:SP:PTJEA2,2,160
AMI:SP:CHAGR2,AMI:SP:CAGRI2,2,310
AMI:SP:CTRI1,AMI:SP:CTRI2,2,89
AMI:SP:ETSUD1,AMI:SP:PJVERN2,2,157
AMI:SP:PVOGEN6,AMI:SP:BRETES1,2,236
AMI:SP:VOLTA1,AMI:SP:STENDN1,2,240
AMI:SP:FJOUR2,AMI:SP:DORGE2,2,349
AMI:SP:AVASS2,AMI:SP:MBARB1,2,421
AMI:SP:ABATTN2,AMI:SP:FGHEMN2,2,368
AMI:SP:EGFIRN1,AMI:SP:FGHEMN1,2,437
AMI:SP:PMARCHN,AMI:SP:PVOGEN6,2,354
AMI:SP:SANTEN2,AMI:SP:RORON2,2,280
AMI:SP:VIGNA1,AMI:SP:CAGNA2,2,166
AMI:SP:HVDUSEN,AMI:SP:HVDUMEN,2,417
AMI:SP:PNORDN3,AMI:SP:BERLIN1,2,363
AMI:SP:GROCHN5,AMI:SP:STJACN2,2,397
AMI:SP:WATTE1,AMI:SP:WATTE2,2,113
AMI:SP:PLICON1,AMI:SP:PLICON2,2,75
AMI:SP:JANVI2,AMI:SP:JANVI1,2,235
AMI:SP:RTANK1,AMI:SP:FORCE1,2,314
AMI:SP:PROCT2,AMI:SP:ADAPEI,2,358
AMI:SP:SANTEN2,AMI:SP:PNORDN2,2,369
AMI:SP:LIBERN5,AMI:SP:LIBERN2,2,173
AMI:SP:MCAMO1,AMI:SP:CHLBAR,2,439
AMI:SP:RGOBLN1,AMI:SP:OTAGEN2,2,320
AMI:SP:HPSDEN5,AMI:SP:HPLSUN5,2,411
AMI:SP:RUNIV1,AMI:SP:RUNIV2,2,142
AMI:SP:GENDA1,AMI:SP:PINSO1,2,397
AMI:SP:CHARDN2,AMI:SP:PNORDN4,2,322
AMI:SP:CJVER1,AMI:SP:PFORT1,2,423
AMI:SP:THDEL2,AMI:SP:ROPE1,2,412
AMI:SP:PROVI1,AMI:SP:CHARAN1,2,382
AMI:SP:PROCT1,AMI:SP:ADAPEI,2,345
AMI:SP:CCNOR2,AMI:SP:CCNOR5,2,96
AMI:SP:COLBEN2,AMI:SP:TIVOL2,2,302
AMI:SP:WALF2,AMI:SP:COLAS1,2,433
AMI:SP:RGOBLN2,AMI:SP:RGOBLN1,2,166
AMI:SP:ROSERN2,AMI:SP:POIDEN2,2,420
AMI:SP:CHAGR1,AMI:SP:AQUAPN1,2,339
AMI:SP:CIMONN6,AMI:SP:CIMONN2,2,255
AMI:SP:CIRQMN2,AMI:SP:CIRQMN1,2,75
AMI:SP:PAGES2,AMI:SP:FOSAL2,2,172
AMI:SP:PNORDN4,AMI:SP:PNORDN2,2,135
AMI:SP:PKRUG1,AMI:SP:CIMONN6,2,409
AMI:SP:EGSLEU,AMI:SP:UPJVN2,2,310
AMI:SP:EGREN2,AMI:SP:CHAPIN2,2,195
AMI:SP:ACACI1,AMI:SP:ILOT2,2,258
AMI:SP:HVDUMEN,AMI:SP:MACULN7,2,322
AMI:SP:MARRE2,AMI:SP:MARRE1,2,158
AMI:SP:ABATTN1,AMI:SP:FGHEMN2,2,429
AMI:SP:PNORDN4,AMI:SP:PNORDN3,2,84
AMI:SP:COURSN2,AMI:SP:LANGUN1,2,421
AMI:SP:BERTR1,AMI:SP:BERTR2,2,114
AMI:SP:CRIVE2,AMI:SP:ROPE1,2,322
AMI:SP:HGREM1,AMI:SP:HGREM2,2,80
AMI:SP:BRANLN1,AMI:SP:BRANLN4,2,150
AMI:SP:PLICON2,AMI:SP:CELUC1,2,328
AMI:SP:HPLSUN4,AMI:SP:HPLSUN6,2,176
AMI:SP:CRIVE2,AMI:SP:DORGE1,2,313
AMI:SP:CNEMON2,AMI:SP:CCGLIN1,2,218
AMI:SP:CAGRI1,AMI:SP:CHAGR2,2,332
AMI:SP:CALMN2,AMI:SP:RAINE2,2,215
AMI:SP:CCNORN7,AMI:SP:MANGE1,2,425
AMI:SP:GAREE,AMI:SP:GARER1,2,337
AMI:SP:HIPPON2,AMI:SP:LHOTO2,2,222
AMI:SP:MCAMO1,AMI:SP:CEGLIS,2,298
AMI:SP:STJUS2,AMI:SP:PINSO2,2,293
