object_id,object_system,object_code
AMI:SP:CMADE2,amiens_rt,189
AMI:SP:CMADE2,source,CMADE2
AMI:SP:COISY1,amiens_rt,196
AMI:SP:COISY1,source,COISY1
AMI:SP:COISY2,amiens_rt,197
AMI:SP:COISY2,source,COISY2
AMI:SP:COLBE1,amiens_rt,198
AMI:SP:COLBE2,amiens_rt,199
AMI:SP:CONTY1,amiens_rt,202
AMI:SP:CONTY1,source,CONTY1
AMI:SP:CONTY2,amiens_rt,203
AMI:SP:CONTY2,source,CONTY2
AMI:SP:CORBI1,amiens_rt,204
AMI:SP:CORBI1,source,CORBI1
AMI:SP:CORBI2,amiens_rt,205
AMI:SP:CORBI2,source,CORBI2
AMI:SP:CREUS,amiens_rt,2086
AMI:SP:CSAGEB,amiens_rt,1026
AMI:SP:CTPET1,amiens_rt,221
AMI:SP:CTPET1,source,CTPET1
AMI:SP:CTPET2,amiens_rt,222
AMI:SP:CTPET2,source,CTPET2
AMI:SP:DCASA1,amiens_rt,231
AMI:SP:DCASA1,source,DCASA1
AMI:SP:DCASA2,amiens_rt,232
AMI:SP:DCASA2,source,DCASA2
AMI:SP:DEBUS1,amiens_rt,237
AMI:SP:DEBUS1,source,DEBUS1
AMI:SP:DEBUS2,amiens_rt,238
AMI:SP:DEBUS2,source,DEBUS2
AMI:SP:DONJON,amiens_rt,247
AMI:SP:DONJON,source,DONJON
AMI:SP:DURYM3,amiens_rt,897
AMI:SP:DURYM3,source,DURYM3
AMI:SP:EBEAU1,amiens_rt,265
AMI:SP:EBEAU1,source,EBEAU1
AMI:SP:EBEAU2,amiens_rt,266
AMI:SP:EBEAU2,source,EBEAU2
AMI:SP:ECAUV1,amiens_rt,267
AMI:SP:ECAUV1,source,ECAUV1
AMI:SP:ECAUV2,amiens_rt,268
AMI:SP:ECAUV2,source,ECAUV2
AMI:SP:ECMAU1,amiens_rt,269
AMI:SP:ECMAU1,source,ECMAU1
AMI:SP:ECMAU2,amiens_rt,270
AMI:SP:ECMAU2,source,ECMAU2
AMI:SP:EDMARQ,amiens_rt,272
AMI:SP:EDMARQ,source,EDMARQ
AMI:SP:EGJEA1,amiens_rt,280
AMI:SP:EGJEA1,source,EGJEA1
AMI:SP:EGJEA2,amiens_rt,281
AMI:SP:EGJEA2,source,EGJEA2
AMI:SP:EGREN1,amiens_rt,284
AMI:SP:EGREN1,source,EGREN1
AMI:SP:EGREN2,amiens_rt,285
AMI:SP:EGREN2,source,EGREN2
AMI:SP:ETOUVN2,amiens_rt,292
AMI:SP:ETOUVN2,source,ETOUVN2
