object_type,object_id,object_system,object_code
stop_area,AMI:SA:place_LUZA,source,place_LUZA
stop_area,AMI:SA:place_MAC,source,place_MAC
stop_area,AMI:SA:place_MADEL,source,place_MADEL
stop_area,AMI:SA:place_MARI,source,place_MARI
stop_area,AMI:SA:place_MARR,source,place_MARR
stop_area,AMI:SA:place_MCAM,source,place_MCAM
stop_area,AMI:SA:place_MERC,source,place_MERC
stop_area,AMI:SA:place_MOUL,source,place_MOUL
stop_area,AMI:SA:place_MOUT,source,place_MOUT
stop_area,AMI:SA:place_MPOU,source,place_MPOU
stop_area,AMI:SA:place_MRIV,source,place_MRIV
stop_area,AMI:SA:place_MSAI,source,place_MSAI
stop_area,AMI:SA:place_MSAL,source,place_MSAL
stop_area,AMI:SA:place_MSAX,source,place_MSAX
stop_area,AMI:SA:place_MVER,source,place_MVER
stop_area,AMI:SA:place_NUMA,source,place_NUMA
stop_area,AMI:SA:place_OMER,source,place_OMER
stop_area,AMI:SA:place_ORMA,source,place_ORMA
stop_area,AMI:SA:place_OTAG,source,place_OTAG
stop_area,AMI:SA:place_PAGE,source,place_PAGE
stop_area,AMI:SA:place_PAMO,source,place_PAMO
stop_area,AMI:SA:place_PAST,source,place_PAST
stop_area,AMI:SA:place_PAVR,source,place_PAVR
stop_area,AMI:SA:place_PBAR,source,place_PBAR
stop_area,AMI:SA:place_PBLA,source,place_PBLA
stop_area,AMI:SA:place_PCAM,source,place_PCAM
stop_area,AMI:SA:place_PCPI,source,place_PCPI
stop_area,AMI:SA:place_PFOR,source,place_PFOR
stop_area,AMI:SA:place_PHOT,source,place_PHOT
stop_area,AMI:SA:place_PICO,source,place_PICO
stop_area,AMI:SA:place_PINC,source,place_PINC
stop_area,AMI:SA:place_PINS,source,place_PINS
stop_area,AMI:SA:place_PJUS,source,place_PJUS
stop_area,AMI:SA:place_PKRU,source,place_PKRU
stop_area,AMI:SA:place_PLIC,source,place_PLIC
stop_area,AMI:SA:place_PMAN,source,place_PMAN
stop_area,AMI:SA:place_PMAR,source,place_PMAR
stop_area,AMI:SA:place_POMM,source,place_POMM
stop_area,AMI:SA:place_PROV,source,place_PROV
stop_area,AMI:SA:place_PTJE,source,place_PTJE
stop_area,AMI:SA:place_RAIN,source,place_RAIN
stop_area,AMI:SA:place_RAIX,source,place_RAIX
stop_area,AMI:SA:place_RALL,source,place_RALL
stop_area,AMI:SA:place_RAMP,source,place_RAMP
stop_area,AMI:SA:place_RCAS,source,place_RCAS
stop_area,AMI:SA:place_RGOB,source,place_RGOB
stop_area,AMI:SA:place_RICO,source,place_RICO
stop_area,AMI:SA:place_RIVE,source,place_RIVE
stop_area,AMI:SA:place_RLEF,source,place_RLEF
stop_area,AMI:SA:place_ROC,source,place_ROC
stop_area,AMI:SA:place_RONS,source,place_RONS
stop_area,AMI:SA:place_ROPE,source,place_ROPE
stop_area,AMI:SA:place_ROUE,source,place_ROUE
stop_area,AMI:SA:place_RUEL,source,place_RUEL
stop_area,AMI:SA:place_SAIN,source,place_SAIN
stop_area,AMI:SA:place_SALX,source,place_SALX
stop_area,AMI:SA:place_SJUS,source,place_SJUS
stop_area,AMI:SA:place_SOBO,source,place_SOBO
stop_area,AMI:SA:place_STAD,source,place_STAD
stop_area,AMI:SA:place_STAN,source,place_STAN
stop_area,AMI:SA:place_STHO,source,place_STHO
stop_area,AMI:SA:place_STQU,source,place_STQU
stop_area,AMI:SA:place_STRA,source,place_STRA
stop_area,AMI:SA:place_STSA,source,place_STSA
stop_area,AMI:SA:place_THDE,source,place_THDE
stop_area,AMI:SA:place_TNIL,source,place_TNIL
stop_area,AMI:SA:place_UPJV,source,place_UPJV
stop_area,AMI:SA:place_VERB,source,place_VERB
stop_area,AMI:SA:place_VERS,source,place_VERS
stop_area,AMI:SA:place_VIGC,source,place_VIGC
stop_area,AMI:SA:place_WAID,source,place_WAID
stop_area,AMI:SA:place_ZACA,source,place_ZACA
stop_area,AMI:SA:place_ZACH,source,place_ZACH
stop_area,AMI:SA:place_14JU,source,place_14JU
stop_area,AMI:SA:place_3D.I,source,place_3D.I
stop_area,AMI:SA:place_8MAI,source,place_8MAI
stop_area,AMI:SA:place_ABAT,source,place_ABAT
stop_area,AMI:SA:place_ABHE,source,place_ABHE
stop_area,AMI:SA:place_ACOU,source,place_ACOU
stop_area,AMI:SA:place_ADAP,source,place_ADAP
stop_area,AMI:SA:place_AFPA,source,place_AFPA
stop_area,AMI:SA:place_AGEO,source,place_AGEO
stop_area,AMI:SA:place_ALLI,source,place_ALLI
stop_area,AMI:SA:place_AMAZ,source,place_AMAZ
stop_area,AMI:SA:place_AOUT,source,place_AOUT
stop_area,AMI:SA:place_APAR,source,place_APAR
stop_area,AMI:SA:place_APAV,source,place_APAV
stop_area,AMI:SA:place_AQUA,source,place_AQUA
stop_area,AMI:SA:place_AUSS,source,place_AUSS
stop_area,AMI:SA:place_AVAS,source,place_AVAS
stop_area,AMI:SA:place_BALZ,source,place_BALZ
stop_area,AMI:SA:place_BARR,source,place_BARR
stop_area,AMI:SA:place_BDOR,source,place_BDOR
stop_area,AMI:SA:place_BELA,source,place_BELA
stop_area,AMI:SA:place_BERL,source,place_BERL
stop_area,AMI:SA:place_BLPA,source,place_BLPA
stop_area,AMI:SA:place_BLZI,source,place_BLZI
stop_area,AMI:SA:place_BOID,source,place_BOID
stop_area,AMI:SA:place_BOUL,source,place_BOUL
stop_area,AMI:SA:place_BRAG,source,place_BRAG
stop_area,AMI:SA:place_BRET,source,place_BRET
stop_area,AMI:SA:place_CAGZ,source,place_CAGZ
stop_area,AMI:SA:place_CALM,source,place_CALM
stop_area,AMI:SA:place_CAM,source,place_CAM
stop_area,AMI:SA:place_CAMB,source,place_CAMB
stop_area,AMI:SA:place_CATE,source,place_CATE
stop_area,AMI:SA:place_CAVR,source,place_CAVR
stop_area,AMI:SA:place_CCAS,source,place_CCAS
stop_area,AMI:SA:place_CCG2,source,place_CCG2
stop_area,AMI:SA:place_CELU,source,place_CELU
stop_area,AMI:SA:place_CETO,source,place_CETO
stop_area,AMI:SA:place_CGMA,source,place_CGMA
stop_area,AMI:SA:place_CGNA,source,place_CGNA
stop_area,AMI:SA:place_CHAG,source,place_CHAG
stop_area,AMI:SA:place_CHAO,source,place_CHAO
stop_area,AMI:SA:place_CHAP,source,place_CHAP
stop_area,AMI:SA:place_CHAR,source,place_CHAR
stop_area,AMI:SA:place_CHAT,source,place_CHAT
stop_area,AMI:SA:place_CHBA,source,place_CHBA
stop_area,AMI:SA:place_CHMI,source,place_CHMI
stop_area,AMI:SA:place_CHTE,source,place_CHTE
stop_area,AMI:SA:place_CHVA,source,place_CHVA
stop_area,AMI:SA:place_CIPR,source,place_CIPR
stop_area,AMI:SA:place_CITP,source,place_CITP
stop_area,AMI:SA:place_CLEM,source,place_CLEM
stop_area,AMI:SA:place_CLJE,source,place_CLJE
stop_area,AMI:SA:place_COLA,source,place_COLA
stop_area,AMI:SA:place_COLT,source,place_COLT
stop_area,AMI:SA:place_COLV,source,place_COLV
stop_area,AMI:SA:place_COND,source,place_COND
stop_area,AMI:SA:place_CORB,source,place_CORB
stop_area,AMI:SA:place_CORN,source,place_CORN
stop_area,AMI:SA:place_COZE,source,place_COZE
stop_area,AMI:SA:place_CROI,source,place_CROI
stop_area,AMI:SA:place_CSAL,source,place_CSAL
stop_area,AMI:SA:place_CTRI,source,place_CTRI
stop_area,AMI:SA:place_CVIC,source,place_CVIC
stop_area,AMI:SA:place_CXPI,source,place_CXPI
stop_area,AMI:SA:place_DCAS,source,place_DCAS
stop_area,AMI:SA:place_DEBO,source,place_DEBO
stop_area,AMI:SA:place_DEFO,source,place_DEFO
