trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,cars_allowed
15-10-1-5-184100,10,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-10-4-5-184601,10,15_SAMEDI,C. CIAL. GLISY,,1,,,,,
15-10-4-5-194300,10,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-10-2-5-194701,10,15_SAMEDI,C. CIAL. GLISY,,1,,,,,
15-10-4-B-061100,10,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-10-3-B-061800,10,15_SEMAINE,C. CIAL. GLISY,,1,,,,,
15-10-3-B-071100,10,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-10-4-B-071801,10,15_SEMAINE,C. CIAL. GLISY,,1,,,,,
15-10-4-B-081000,10,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-10-3-B-081801,10,15_SEMAINE,C. CIAL. GLISY,,1,,,,,
15-10-3-B-091000,10,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-10-4-B-091701,10,15_SEMAINE,C. CIAL. GLISY,,1,,,,,
15-10-4-B-101000,10,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-10-3-B-101701,10,15_SEMAINE,C. CIAL. GLISY,,1,,,,,
15-10-3-B-111000,10,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-10-4-B-111701,10,15_SEMAINE,C. CIAL. GLISY,,1,,,,,
15-10-4-B-121000,10,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-10-3-B-121701,10,15_SEMAINE,C. CIAL. GLISY,,1,,,,,
15-10-3-B-131000,10,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-10-2-B-131700,10,15_SEMAINE,C. CIAL. GLISY,,1,,,,,
15-10-2-B-140900,10,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-10-3-B-141701,10,15_SEMAINE,C. CIAL. GLISY,,1,,,,,
15-10-3-B-150900,10,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-10-8-B-151701,10,15_SEMAINE,C. CIAL. GLISY,,1,,,,,
15-10-8-B-160900,10,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-10-3-B-161701,10,15_SEMAINE,C. CIAL. GLISY,,1,,,,,
15-10-3-B-170900,10,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-10-8-B-171601,10,15_SEMAINE,C. CIAL. GLISY,,1,,,,,
15-10-8-B-181000,10,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-10-3-B-181601,10,15_SEMAINE,C. CIAL. GLISY,,1,,,,,
15-10-13-B-192000,10,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-10-1-B-192801,10,15_SEMAINE,C. CIAL. GLISY,,1,,,,,
15-11-2-5-075901,11,15_SAMEDI,ETOUVIE,,1,,,,,
15-11-3-5-080200,11,15_SAMEDI,SALEUX,,0,,,,,
15-11-3-5-090900,11,15_SAMEDI,ETOUVIE,,1,,,,,
15-11-2-5-091300,11,15_SAMEDI,SALEUX,,0,,,,,
15-11-2-5-102000,11,15_SAMEDI,ETOUVIE,,1,,,,,
15-11-3-5-102200,11,15_SAMEDI,SALEUX,,0,,,,,
15-11-3-5-113000,11,15_SAMEDI,ETOUVIE,,1,,,,,
15-11-2-5-113200,11,15_SAMEDI,SALEUX,,0,,,,,
15-11-2-5-124000,11,15_SAMEDI,ETOUVIE,,1,,,,,
15-11-3-5-124200,11,15_SAMEDI,SALEUX,,0,,,,,
15-11-3-5-134800,11,15_SAMEDI,ETOUVIE,,1,,,,,
15-11-2-5-135300,11,15_SAMEDI,SALEUX,,0,,,,,
15-11-2-5-145800,11,15_SAMEDI,ETOUVIE,,1,,,,,
15-11-3-5-150200,11,15_SAMEDI,SALEUX,,0,,,,,
15-11-3-5-160700,11,15_SAMEDI,ETOUVIE,,1,,,,,
15-11-2-5-161000,11,15_SAMEDI,SALEUX,,0,,,,,
15-11-2-5-171700,11,15_SAMEDI,ETOUVIE,,1,,,,,
15-11-3-5-171900,11,15_SAMEDI,SALEUX,,0,,,,,
15-11-3-5-182800,11,15_SAMEDI,ETOUVIE,,1,,,,,
15-11-2-5-183200,11,15_SAMEDI,SALEUX,,0,,,,,
15-11-6-B-060200,11,15_SEMAINE,ETOUVIE,,1,,,,,
15-11-11-B-060600,11,15_SEMAINE,SALEUX,,0,,,,,
15-11-6-B-070400,11,15_SEMAINE,SALEUX,,0,,,,,
15-11-11-B-070700,11,15_SEMAINE,ETOUVIE,,1,,,,,
15-11-6-B-080400,11,15_SEMAINE,ETOUVIE,,1,,,,,
15-11-11-B-080700,11,15_SEMAINE,SALEUX,,0,,,,,
15-11-6-B-090700,11,15_SEMAINE,SALEUX,,0,,,,,
15-11-11-B-090900,11,15_SEMAINE,ETOUVIE,,1,,,,,
15-11-6-B-101000,11,15_SEMAINE,ETOUVIE,,1,,,,,
15-11-11-B-101100,11,15_SEMAINE,SALEUX,,0,,,,,
15-11-6-B-111200,11,15_SEMAINE,SALEUX,,0,,,,,
15-11-11-B-111500,11,15_SEMAINE,ETOUVIE,,1,,,,,
15-11-6-B-121400,11,15_SEMAINE,ETOUVIE,,1,,,,,
15-11-11-B-121700,11,15_SEMAINE,SALEUX,,0,,,,,
15-11-14-B-131600,11,15_SEMAINE,SALEUX,,0,,,,,
15-11-11-B-131900,11,15_SEMAINE,ETOUVIE,,1,,,,,
15-11-11-B-142100,11,15_SEMAINE,SALEUX,,0,,,,,
15-11-14-B-143400,11,15_SEMAINE,ETOUVIE,,1,,,,,
15-11-2-B-151600,11,15_SEMAINE,SALEUX,,0,,,,,
15-11-11-B-153400,11,15_SEMAINE,ETOUVIE,,1,,,,,
15-11-12-B-161501,11,15_SEMAINE,SALEUX,,0,,,,,
15-11-2-B-163100,11,15_SEMAINE,ETOUVIE,,1,,,,,
15-11-11-B-171300,11,15_SEMAINE,SALEUX,,0,,,,,
15-11-12-B-173300,11,15_SEMAINE,ETOUVIE,,1,,,,,
15-11-2-B-181700,11,15_SEMAINE,SALEUX,,0,,,,,
15-11-11-B-182900,11,15_SEMAINE,ETOUVIE,,1,,,,,
15-11-2-B-193000,11,15_SEMAINE,ETOUVIE,,1,,,,,
15-11-11-B-193400,11,15_SEMAINE,SALEUX,,0,,,,,
15-12-1-5-080501,12,15_SAMEDI,SAINS-EN-AMIENOIS,,0,,,,,
15-12-6-5-081900,12,15_SAMEDI,BERTANGLES,,1,,,,,
15-12-1-5-092100,12,15_SAMEDI,BERTANGLES,,1,,,,,
15-12-3-5-112401,12,15_SAMEDI,SAINS-EN-AMIENOIS,,0,,,,,
15-12-2-5-113500,12,15_SAMEDI,BERTANGLES,,1,,,,,
15-12-2-5-130400,12,15_SAMEDI,SAINS-EN-AMIENOIS,,0,,,,,
15-12-5-5-132500,12,15_SAMEDI,BERTANGLES,,1,,,,,
15-12-2-5-142000,12,15_SAMEDI,BERTANGLES,,1,,,,,
15-12-5-5-145900,12,15_SAMEDI,SAINS-EN-AMIENOIS,,0,,,,,
15-12-2-5-160400,12,15_SAMEDI,SAINS-EN-AMIENOIS,,0,,,,,
15-12-5-5-160900,12,15_SAMEDI,BERTANGLES,,1,,,,,
15-12-4-5-163401,12,15_SAMEDI,SAINS-EN-AMIENOIS,,0,,,,,
15-12-5-5-172900,12,15_SAMEDI,SAINS-EN-AMIENOIS,,0,,,,,
15-12-2-5-173400,12,15_SAMEDI,BERTANGLES,,1,,,,,
15-12-2-5-190100,12,15_SAMEDI,SAINS-EN-AMIENOIS,,0,,,,,
15-12-5-5-190400,12,15_SAMEDI,BERTANGLES,,1,,,,,
15-12-9-B-070401,12,15_SEMAINE,SAINS-EN-AMIENOIS,,0,,,,,
15-12-2-B-071400,12,15_SEMAINE,BERTANGLES,,1,,,,,
15-12-1-B-073701,12,15_SEMAINE,BERTANGLES,,1,,,,,
15-12-3-B-080401,12,15_SEMAINE,SAINS-EN-AMIENOIS,,0,,,,,
15-12-3-B-091700,12,15_SEMAINE,BERTANGLES,,1,,,,,
15-12-4-B-113601,12,15_SEMAINE,BERTANGLES,,1,,,,,
15-12-5-B-132601,12,15_SEMAINE,BERTANGLES,,1,,,,,
15-12-5-B-145800,12,15_SEMAINE,SAINS-EN-AMIENOIS,,0,,,,,
15-12-6-B-154601,12,15_SEMAINE,SAINS-EN-AMIENOIS,,0,,,,,
15-12-7-B-160101,12,15_SEMAINE,SAINS-EN-AMIENOIS,,0,,,,,
15-12-5-B-161100,12,15_SEMAINE,BERTANGLES,,1,,,,,
15-12-8-B-163101,12,15_SEMAINE,SAINS-EN-AMIENOIS,,0,,,,,
15-12-7-B-172600,12,15_SEMAINE,BERTANGLES,,1,,,,,
